curve,elapsed_sec,mean,ci_lo,ci_hi,n_runs
original r6 (n=3),178.0,8.985143244289587,7.408242025611435,10.562044462967737,3
original r6 (n=3),179.0,9.008484965802039,7.419718323314999,10.597251608289078,3
original r6 (n=3),180.0,9.031826687314492,7.43118454103311,10.632468833595874,3
original r6 (n=3),181.0,9.055168408826946,7.442640901468749,10.667695916185142,3
original r6 (n=3),182.0,9.0785101303394,7.454087620989311,10.702932639689488,3
original r6 (n=3),183.0,9.101851851851853,7.465524909843786,10.73817879385992,3
original r6 (n=3),184.0,9.200396825396824,7.563003766688001,10.837789884105648,3
original r6 (n=3),185.0,9.298941798941799,7.596831582412047,11.00105201547155,3
original r6 (n=3),186.0,9.397486772486774,7.573772062708166,11.221201482265382,3
original r6 (n=3),187.0,9.496031746031745,7.504217374898844,11.487846117164647,3
original r6 (n=3),188.0,9.59457671957672,7.398820214774556,11.790333224378884,3
original r6 (n=3),189.0,9.693121693121693,7.266601188231773,12.119642198011613,3
original r6 (n=3),190.0,9.791666666666666,7.114487202031873,12.46884613130146,3
original r6 (n=3),191.0,9.887241689128482,6.945845657746776,12.828637720510187,3
original r6 (n=3),192.0,9.919091221394218,6.929558278198757,12.90862416458968,3
original r6 (n=3),193.0,9.950940753659955,6.912924639854019,12.988956867465891,3
original r6 (n=3),194.0,9.982790285925692,6.895961058172909,13.069619513678475,3
original r6 (n=3),195.0,10.014639818191428,6.878682940435633,13.150596695947224,3
original r6 (n=3),196.0,10.046489350457163,6.861104839719152,13.231873861195174,3
original r6 (n=3),197.0,10.078338882722901,6.843240505914847,13.313437259530957,3
original r6 (n=3),198.0,10.110188414988636,6.825102933867437,13.395273896109835,3
original r6 (n=3),199.0,10.142037947254373,6.806704408732146,13.477371485776601,3
original r6 (n=3),200.0,10.17388747952011,6.788056548658405,13.559718410381814,3
original r6 (n=3),201.0,10.205737011785846,6.769170344916254,13.642303678655438,3
original r6 (n=3),202.0,10.237586544051583,6.7500561995858535,13.725116888517313,3
original r6 (n=3),203.0,10.26943607631732,6.730723960932682,13.808148191701957,3
original r6 (n=3),204.0,10.301285608583056,6.711182956590841,13.89138826057527,3
original r6 (n=3),205.0,10.333135140848793,6.691442024675526,13.97482825702206,3
original r6 (n=3),206.0,10.36498467311453,6.671509542942854,14.058459803286205,3
original r6 (n=3),207.0,10.396834205380264,6.65139345611185,14.142274954648677,3
original r6 (n=3),208.0,10.428683737646002,6.631101301459171,14.226266173832833,3
