curve,elapsed_sec,mean,ci_lo,ci_hi,n_runs
original r6 (n=3),158.0,11.181846072931277,6.791982356388619,15.571709789473935,3
original r6 (n=3),159.0,11.20067788686302,6.784418916663981,15.616936857062058,3
original r6 (n=3),160.0,11.219509700794765,6.776846790195006,15.662172611394524,3
original r6 (n=3),161.0,11.238341514726507,6.769266130949288,15.707416898503727,3
original r6 (n=3),162.0,11.257173328658252,6.761677089325183,15.752669567991322,3
original r6 (n=3),163.0,11.276005142589995,6.7540798122531935,15.797930472926796,3
original r6 (n=3),164.0,11.29483695652174,6.746474443294052,15.843199469749429,3
original r6 (n=3),165.0,11.313668770453482,6.738861122733446,15.888476418173518,3
original r6 (n=3),166.0,11.332500584385228,6.731239987673706,15.933761181096749,3
original r6 (n=3),167.0,11.35133239831697,6.723611172122382,15.979053624511558,3
original r6 (n=3),168.0,11.370164212248715,6.715974807078002,16.02435361741943,3
original r6 (n=3),169.0,11.388996026180457,6.708331020612957,16.06966103174796,3
original r6 (n=3),170.0,11.407827840112203,6.700679937953762,16.114975742270644,3
original r6 (n=3),171.0,11.426659654043945,6.693021681558666,16.160297626529225,3
original r6 (n=3),172.0,11.44549146797569,6.685356371192829,16.205626564758553,3
original r6 (n=3),173.0,11.464323281907433,6.677684124001028,16.250962439813836,3
original r6 (n=3),174.0,11.483155095839178,6.670005054578112,16.296305137100244,3
original r6 (n=3),175.0,11.50198690977092,6.662319275037169,16.34165454450467,3
original r6 (n=3),176.0,11.520818723702666,6.6546268950755945,16.387010552329738,3
original r6 (n=3),177.0,11.539650537634408,6.646928022039037,16.432373053229778,3
original r6 (n=3),178.0,11.558482351566154,6.639222760983397,16.47774194214891,3
original r6 (n=3),179.0,11.577314165497896,6.631511214734848,16.52311711626094,3
original r6 (n=3),180.0,11.596145979429641,6.623793483948048,16.568498474911234,3
original r6 (n=3),181.0,11.614977793361383,6.616069667162512,16.613885919560254,3
original r6 (n=3),182.0,11.633809607293129,6.608339860857311,16.659279353728948,3
original r6 (n=3),183.0,11.652641421224871,6.600604159504029,16.704678682945712,3
original r6 (n=3),184.0,11.680664411627205,6.562522540618631,16.79880628263578,3
original r6 (n=3),185.0,11.708687402029534,6.524432740274675,16.892942063784393,3
original r6 (n=3),186.0,11.736710392431867,6.486335067535249,16.987085717328483,3
original r6 (n=3),187.0,11.7647333828342,6.4482298161242095,17.08123694954419,3
original r6 (n=3),188.0,11.792756373236534,6.41011726536414,17.17539548110893,3
original r6 (n=3),189.0,11.820779363638863,6.371997681046408,17.269561046231317,3
original r6 (n=3),190.0,11.848802354041196,6.33387131623907,17.363733391843322,3
original r6 (n=3),191.0,11.876825344443526,6.295738412037625,17.457912276849427,3
original r6 (n=3),192.0,11.90484833484586,6.257599198263426,17.552097471428297,3
original r6 (n=3),193.0,11.932871325248191,6.219453894113768,17.646288756382617,3
original r6 (n=3),194.0,11.960894315650526,6.18130270876767,17.74048592253338,3
original r6 (n=3),195.0,11.988917306052855,6.143145841950676,17.834688770155033,3
original r6 (n=3),196.0,12.01694029645519,6.104983484462023,17.928897108448353,3
original r6 (n=3),197.0,12.044963286857518,6.066815818666897,18.02311075504814,3
original r6 (n=3),198.0,12.072986277259853,6.028643018956606,18.1173295355631,3
original r6 (n=3),199.0,12.101009267662183,5.9904652521789155,18.211553283145452,3
original r6 (n=3),200.0,12.129032258064514,5.952282678040947,18.30578183808808,3
original r6 (n=3),201.0,12.137447405329594,5.978849110576441,18.296045700082747,3
original r6 (n=3),202.0,12.14586255259467,6.005412309515485,18.286312795673854,3
original r6 (n=3),203.0,12.154277699859747,6.031972246102508,18.276583153616986,3
original r6 (n=3),204.0,12.162692847124825,6.058528891245224,18.266856803004426,3
original r6 (n=3),205.0,12.171107994389901,6.085082215509779,18.257133773270024,3
original r6 (n=3),206.0,12.179523141654977,6.111632189115801,18.247414094194152,3
original r6 (n=3),207.0,12.187938288920057,6.138178781931387,18.237697795908726,3
original r6 (n=3),208.0,12.196353436185133,6.16472196346795,18.227984908902314,3
original r6 (n=3),209.0,12.20476858345021,6.191261702875054,18.218275464025368,3
original r6 (n=3),210.0,12.213183730715286,6.2177979689350895,18.208569492495485,3
original r6 (n=3),211.0,12.221598877980364,6.244330730057911,18.198867025902818,3
original r6 (n=3),212.0,12.230014025245444,6.27085995427534,18.189168096215546,3
original r6 (n=3),213.0,12.23842917251052,6.297385609235591,18.17947273578545,3
original r6 (n=3),214.0,12.246844319775596,6.323907662197617,18.169780977353575,3
original r6 (n=3),215.0,12.255259467040673,6.350426080025322,18.160092854056025,3
original r6 (n=3),216.0,12.26367461430575,6.376940829181691,18.150408399429807,3
original r6 (n=3),217.0,12.272089761570827,6.403451875722823,18.14072764741883,3
original r6 (n=3),218.0,12.280504908835903,6.429959185291846,18.13105063237996,3
original r6 (n=3),219.0,12.288920056100983,6.456462723112731,18.121377389089233,3
original r6 (n=3),220.0,12.29733520336606,6.482962453983986,18.111707952748134,3
original r6 (n=3),221.0,12.305750350631136,6.509458342272261,18.102042358990012,3
original r6 (n=3),222.0,12.314165497896212,6.5359503519058295,18.092380643886596,3
original r6 (n=3),223.0,12.32258064516129,6.562438446367926,18.082722843954656,3
original r6 (n=3),224.0,12.346998207885305,6.638571842521848,18.05542457324876,3
original r6 (n=3),225.0,12.37141577060932,6.713959978196836,18.028871563021802,3
original r6 (n=3),226.0,12.395833333333334,6.788582529838382,18.003084136828285,3
original r6 (n=3),227.0,12.5,7.121684087879822,17.87831591212018,3
original r6 (n=3),228.0,12.604166666666666,7.444688537546699,17.763644795786632,3
original r6 (n=3),229.0,12.708333333333334,7.756257090361979,17.660409576304687,3
original r6 (n=3),230.0,12.8125,8.054893910319267,17.570106089680735,3
original r6 (n=3),231.0,12.833333333333334,8.130936538932893,17.535730127733775,3
original r6 (n=3),232.0,12.854166666666666,8.205906166640592,17.50242716669274,3
original r6 (n=3),233.0,12.875,8.279764870334432,17.470235129665568,3
original r6 (n=3),234.0,12.895833333333334,8.35247375319694,17.43919291346973,3
original r6 (n=3),235.0,12.916666666666666,8.423992985147326,17.409340348186007,3
original r6 (n=3),236.0,12.9375,8.494281853261008,17.380718146738992,3
original r6 (n=3),237.0,12.958333333333334,8.563298822991058,17.35336784367561,3
original r6 (n=3),238.0,12.979166666666666,8.631001610992808,17.327331722340524,3
original r6 (n=3),239.0,13.0,8.697347270303858,17.302652729696142,3
original r6 (n=3),240.0,13.083333333333334,8.948282339304008,17.21838432736266,3
original r6 (n=3),241.0,13.166666666666666,9.173973910994084,17.15935942233925,3
original r6 (n=3),242.0,13.25,9.371641240641365,17.128358759358633,3
original r6 (n=3),243.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),244.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),245.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),246.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),247.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),248.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),249.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),250.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),251.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),252.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),253.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),254.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),255.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),256.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),257.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),258.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),259.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),260.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),261.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),262.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),263.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),264.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),265.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),266.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),267.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),268.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),269.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),270.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),271.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),272.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),273.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),274.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),275.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),276.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),277.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),278.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),279.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),280.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),281.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),282.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),283.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),284.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),285.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),286.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),287.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),288.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),289.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),290.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),291.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),292.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),293.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),294.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),295.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),296.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),297.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),298.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),299.0,13.333333333333334,9.538750299783597,17.12791636688307,3
original r6 (n=3),300.0,13.333333333333334,9.538750299783597,17.12791636688307,3
ours r6 (n=4),0.0,0.0,0.0,0.0,4
ours r6 (n=4),1.0,0.0,0.0,0.0,4
ours r6 (n=4),2.0,0.0,0.0,0.0,4
ours r6 (n=4),3.0,0.0,0.0,0.0,4
ours r6 (n=4),4.0,0.0,0.0,0.0,4
ours r6 (n=4),5.0,0.0,0.0,0.0,4
ours r6 (n=4),6.0,0.0,0.0,0.0,4
ours r6 (n=4),7.0,0.0,0.0,0.0,4
ours r6 (n=4),8.0,0.0,0.0,0.0,4
ours r6 (n=4),9.0,0.0,0.0,0.0,4
ours r6 (n=4),10.0,0.0,0.0,0.0,4
ours r6 (n=4),11.0,0.0,0.0,0.0,4
ours r6 (n=4),12.0,0.0,0.0,0.0,4
ours r6 (n=4),13.0,0.0,0.0,0.0,4
ours r6 (n=4),14.0,0.0,0.0,0.0,4
ours r6 (n=4),15.0,0.0,0.0,0.0,4
ours r6 (n=4),16.0,0.0,0.0,0.0,4
ours r6 (n=4),17.0,0.0,0.0,0.0,4
ours r6 (n=4),18.0,0.0,0.0,0.0,4
ours r6 (n=4),19.0,0.0,0.0,0.0,4
ours r6 (n=4),20.0,0.0,0.0,0.0,4
ours r6 (n=4),21.0,0.0,0.0,0.0,4
ours r6 (n=4),22.0,0.0,0.0,0.0,4
ours r6 (n=4),23.0,0.0,0.0,0.0,4
ours r6 (n=4),24.0,0.0,0.0,0.0,4
ours r6 (n=4),25.0,0.0,0.0,0.0,4
ours r6 (n=4),26.0,0.0,0.0,0.0,4
ours r6 (n=4),27.0,0.0,0.0,0.0,4
ours r6 (n=4),28.0,0.0,0.0,0.0,4
ours r6 (n=4),29.0,0.0,0.0,0.0,4
ours r6 (n=4),30.0,0.0,0.0,0.0,4
ours r6 (n=4),31.0,0.25,-0.5456115763210657,1.0456115763210656,4
ours r6 (n=4),32.0,0.3333333333333333,-0.7274821017614213,1.3941487684280878,4
ours r6 (n=4),33.0,0.41666666666666663,-0.9093526272017761,1.7426859605351095,4
ours r6 (n=4),34.0,0.5,-1.0912231526421314,2.091223152642131,4
ours r6 (n=4),35.0,0.75,-1.6368347289631973,3.1368347289631973,4
ours r6 (n=4),36.0,0.875,-1.90964051712373,3.65964051712373,4
ours r6 (n=4),37.0,1.0,-2.182446305284263,4.182446305284262,4
ours r6 (n=4),38.0,1.275,-1.8142550130201616,4.364255013020161,4
ours r6 (n=4),39.0,1.3192307692307692,-1.8416989485250663,4.4801604869866045,4
ours r6 (n=4),40.0,1.6134615384615385,-1.3504207750193569,4.577343851942434,4
ours r6 (n=4),41.0,1.9076923076923078,-1.0432485307257797,4.858633146110395,4
ours r6 (n=4),42.0,2.001923076923077,-1.012912963925237,5.016759117771391,4
ours r6 (n=4),43.0,2.0961538461538463,-0.9868406324321302,5.179148324739822,4
ours r6 (n=4),44.0,2.1903846153846156,-0.9647552606311365,5.345524491400368,4
ours r6 (n=4),45.0,2.2846153846153845,-0.9463897840429949,5.515620553273764,4
ours r6 (n=4),46.0,2.378846153846154,-0.9314884580940093,5.6891807657863165,4
ours r6 (n=4),47.0,2.485576923076923,-0.9165701568669693,5.887724003020815,4
ours r6 (n=4),48.0,2.5865384615384617,-0.8990031461042833,6.072080069181206,4
ours r6 (n=4),49.0,2.6875,-0.8874191979981805,6.262419197998181,4
ours r6 (n=4),50.0,2.7884615384615383,-0.8813811930996245,6.458304270022701,4
ours r6 (n=4),51.0,2.8894230769230766,-0.880470224635709,6.659316378481862,4
ours r6 (n=4),52.0,3.0024038461538463,-0.8628812936916668,6.86768898599936,4
ours r6 (n=4),53.0,3.1153846153846154,-0.8500206532692713,7.080789884038502,4
ours r6 (n=4),54.0,3.2283653846153846,-0.841539368841405,7.298270138072175,4
ours r6 (n=4),55.0,3.298076923076923,-0.8154166918330907,7.411570537986936,4
ours r6 (n=4),56.0,3.3677884615384617,-0.7904651787024735,7.526042101779397,4
ours r6 (n=4),57.0,3.4375,-0.7666474227511051,7.641647422751105,4
ours r6 (n=4),58.0,3.5072115384615383,-0.7439267052149443,7.758349782138021,4
ours r6 (n=4),59.0,3.826923076923077,-0.43244199568868114,8.086288149534836,4
ours r6 (n=4),60.0,3.8966346153846154,-0.4230778090929834,8.216347039862214,4
ours r6 (n=4),61.0,4.030448717948718,-0.4580135612313283,8.518910997128764,4
ours r6 (n=4),62.0,4.16426282051282,-0.49789198556505987,8.8264176265907,4
ours r6 (n=4),63.0,4.298076923076923,-0.5421810083586482,9.138334854512495,4
ours r6 (n=4),64.0,4.358173076923077,-0.5238747893504554,9.240220943196608,4
ours r6 (n=4),65.0,4.418269230769231,-0.5066836502817411,9.343222111820204,4
ours r6 (n=4),66.0,4.478365384615385,-0.490578706314186,9.447309475544955,4
ours r6 (n=4),67.0,4.538461538461538,-0.4755313677182107,9.552454444641288,4
ours r6 (n=4),68.0,4.860576923076923,-0.47978527558237616,10.200939121736223,4
ours r6 (n=4),69.0,4.945192307692308,-0.444398651059128,10.334783266443743,4
ours r6 (n=4),70.0,5.029807692307692,-0.4144357893885138,10.474051174003897,4
